puntaje adjetivo adjetiva significado(inglés)
10 alto | alta |   tall/high
1 impreso | impresa | -
1 imprevisto | imprevista | -
1 impulsivo | - |  impulsive 
1 incapaz | - | -
1 incierto | incierta | -
1 incipiente | - | -
1 inclinado | inclinada | -
1 incomprensible | - | -
1 inconsciente | - | -
1 inculto | - | -
1 incómodas | - | -
1 indecisivo | - |  indecisive 
1 indefinido | indefinida | -
1 indestructible | - | 
1 indignante | - |  	outrageous 
1 indisciplinado | - | 
1 indiscutible | - | -
1 indispensable | - | -
1 indudable | - | -
1 industrial | - | -
1 inepto | - | -
1 inesperado | inesperada | -
1 inestable | - | -
1 inevitable | - | -
1 inexistente | - | -
1 inexplicable | - | -
1 inexpresivo | - | -
1 inferior | - | -
1 informativo | informativa | -
1 inglés | - | -
1 injusto | injusta | -
1 inmaduro | - | 
1 inmensas | - | -
1 inmenso | inmensa | -
1 inmensurable | - |  immeasureable
1 inmerso | inmersa | -
1 inminente | - | -
1 inmóvil | - | -
1 innecesario | innecesaria | -
1 innocent | - |  inocente 
1 innovador | - | 
1 innumerable | - | -
1 inobjetable | - | -
1 inocente | - | -
1 inocentón | - |  naïve 
1 inoperante | - | -
1 inquietante | - | -
1 insatisfecho | - | -
1 inseguro | insegura | -
1 inseparable | - | -
1 insignificante | - | -
1 insoportable | - | -
1 inspirador | - | 
1 institucional | - | -
1 insuficiente | - | -
1 insólito | insólita | -
1 intacto | intacta | -
1 integrante | - | -
1 intelectual | - | -
1 inteligentes | - | -
1 interesado | interesada | -
1 interesting | - |  interesante
1 intermedio | intermedia | -
1 interminable | - | -
1 intolerante | - |  intolerant 
1 intrépido | - | -
1 invariable | - |  adjectives
1 inverso | inversa | -
1 invertido | invertida | -
1 invisible | - | -
1 involuntario | involuntaria | -
1 inédito | inédita | -
1 inﬁnito | inﬁnita | -
1 irracional | - | -
1 irreal | - | -
1 irregular | - | -
1 irresistable | - |  irresistible
1 irresponsable | - | -
1 irreversible | - | -
1 irrompible | - | 
1 irónico | irónica | -
1 italiano | italiana | -
1 japonés | - | -
1 jovial | - |  cheerful
1 judío | judía | -
1 jurídico | jurídica | -
1 justificado | justificada | -
1 juvenil | - | -
1 laborioso | laboriosa | -
1 lamentable | - | -
1 lampiño | - | 
1 larguísimo | larguísima | -
1 latente | - | -
1 lateral | - | -
1 latino | latina | -
1 latinoamericano | latinoamericana | -
1 leal | - | -
1 legítimo | legítima | -
1 lemony | - | 
1 leve | - | -
1 ligado | ligada | -
1 limitado | limitada | -
1 lingüístico | lingüística | -
1 lite | - |  light
1 liviano | liviana | -
1 llamativo | llamativa | -
1 lo | - | -
1 los | - | -
1 loving | - |  adjectives 
1 luchador | - | 
1 lujoso | lujosa | -
1 lógico | lógica | -
1 maestro | maestra | -
1 magníﬁco | magníﬁca | -
1 magro | - |  lean
1 mal | - |  educado(a) rude
1 maldito | maldita | -
1 maleducado | maleducada |  rude
1 malhumorado | - |  bad-tempered
1 maligno | maligna | -
1 malty | - | 
1 malvado | malvada |  evil
1 malévolo | - |  malicious 
1 malísimo | malísima |  awful
1 mantecoso | - |  buttery
1 manual | - | -
1 marginado | - | -
1 marginal | - | -
1 marino | marina | -
1 masculino | masculina | -
1 matemático | matemática | -
1 material | - | -
1 materno | materna | -
1 matrimonial | - | -
1 mecánico | mecánica | -
1 mediado | mediada | -
1 mediano | mediana | -
1 medieval | - | -
1 mediocre | - | -
1 menos | - | -
1 mensual | - | -
1 menta | - |  minty
1 mental | - | -
1 mero | mera | -
1 metálico | metálica | -
1 mezclado | mezclada | -
1 mezquino | - |  petty 
1 mi | - | -
1 miedoso | - | 
1 minucioso | minuciosa | -
1 minúsculo | minúscula | -
1 miserable | - | -
1 mismo | misma | -
1 mismísimo | mismísima | -
1 misterioso | misteriosa | -
1 mixto | mixta | -
1 molesto | molesta | -
1 mono | mona |  cute
1 monstruoso | monstruosa | -
1 monumental | - | -
1 monótono | monótona | -
1 monótonos | - | -
1 morado | - | 	purple 
1 moral | - | -
1 mortal | - | -
1 mouthwatering | - | 
1 muchísimo | muchísima | -
1 mugroso | - |  dirty
1 mutuo | mutua | -
1 muy | - |  bueno
1 mágico | mágica | -
1 más | - | -
1 místico | mística | -
1 múltiple | - | -
1 nativo | nativa | -
1 necesitado | necesitada | -
1 negative | - |  personality adjectives
1 neutro | neutra | -
1 ninguno | ninguna | -
1 noble | - | -
1 nocturno | nocturna | -
1 nonconformist | - |  disidente 
1 norteamericano | norteamericana | -
1 notable | - | -
1 notorio | notoria | -
1 nublado | - | 
1 nuestro | nuestra | -
1 nueve | - | -
1 nulo | nula | -
1 nítido | nítida | -
1 obediente | - |  	obedient 
1 obeso | obesa |  obese
1 objetivo | objetiva | -
1 obligado | obligada | -
1 obligatorio | obligatoria | -
1 obrero | obrera | -
1 obsecuente | - | -
1 obsoleto | - | 
1 obstinate | - |  obstinado 
1 obvio | obvia | -
1 ocasional | - | -
1 occidental | - | -
1 ocho | - | -
1 oculto | oculta | -
1 odioso | - |  hateful 
1 oficial | - | 	official
1 oloroso | - |  smelly
1 oniony | - | 
1 oportuno | oportuna | -
1 optimista | - | -
1 optimistic | - |  optimista
1 opuesto | opuesta | -
1 oral | - | -
1 organizado | organizada | -
1 orgánico | orgánica | -
1 orientado | orientada | -
1 oriental | - | -
1 otro | otra | -
1 out | - |  of this world
1 overripe | - | 
1 oﬁcial | - | -
1 pacífico | pacífica | -
1 parado | parada | -
1 paralelo | paralela | -
1 paralizado | paralizada | -
1 parcial | - | -
1 pardo | parda | -
1 parecido | parecida | -
1 parlamentario | parlamentaria | -
1 pasado | pasada | -
1 pasajero | pasajera | -
1 pasivo | pasiva | -
1 passionate | - |  apasionado
1 pastoso | - |  doughy
1 paterno | paterna | -
1 patriótico | patriótica | -
1 peculiar | - | -
1 pedagógico | pedagógica | -
1 pelirrojo | pelirroja |  re-haired”
1 penal | - | -
1 pendiente | - | -
1 penoso | penosa | -
1 pensado | pensada | -
1 pensativo | - |  pensive
1 peppery | - | 
1 pequeñito | pequeñita | -
1 perdedor | - | 
1 perdido | perdida | -
1 perezoso | - |  lazy
1 periodístico | periodística | -
1 perpetuo | perpetua | -
1 persistente | - | -
1 perteneciente | - | -
1 peruano | peruana | -
1 perverso | perversa | -
1 pesimista | - |  pessimistic 
1 pickled | - | 
1 pico | - | -
1 pintado | pintada | -
1 pintoresco | pintoresca | -
1 plano | plana | -
1 plástico | plástica | -
1 poblado | poblada | -
1 policial | - | -
1 poquito | poquita | -
1 portugués | - | -
1 posesivo | - |  possessive 
1 positive | - |  personality adjectives
1 posterior | - | -
1 potencial | - | -
1 potente | - | -
1 powdery | - | 
1 poético | poética | -
1 precario | precaria | -
1 preciso | precisa | -
1 preferible | - | -
1 preferido | preferida | -
1 prematuro | prematura | -
1 preparado | preparada | -
1 presidencial | - | -
1 preso | presa | -
1 prestado | prestada | -
1 prestigioso | prestigiosa | -
1 presunto | presunta | -
1 previsible | - | -
1 previsto | prevista | -
1 primario | primaria | -
1 primitivo | primitiva | -
1 primordial | - | -
1 privilegiado | privilegiada | -
1 probable | - | -
1 procedente | - | -
1 prodigioso | prodigiosa | -
1 progresivo | progresiva | -
1 prohibido | prohibida | -
1 prolongado | prolongada | -
1 prolífico | - | 
1 promedio | - |  average
1 propicio | propicia | -
1 proveniente | - | -
1 provincial | - | -
1 psicológico | psicológica | -
1 publicitario | publicitaria | -
1 pulposo | - |  mushy
1 puré | - |  mashed
1 pésimo | pésima | -
1 que | - |  satisface
1 quebrantable | - |  breakable
1 quieto | quieta | -
1 químico | química | -
1 racional | - | -
1 radical | - | -
1 razonable | - | -
1 receloso | - |  distrustful 
1 recíproco | recíproca | -
1 recóndito | - |  dark
1 reducido | reducida | -
1 referente | - | -
1 reflejado | reflejada | -
1 refrescante | - |  refreshing
1 regio | - | 
1 regular | - | -
1 relacionado | relacionada | -
1 relativo | relativa | -
1 relevante | - | -
1 remoto | remota | -
1 repentino | repentina | -
1 repetido | repetida | -
1 repleto | repleta | -
1 representativo | representativa | -
1 republicano | republicana | -
1 repugnante | - |  disgusting 
1 respectivo | respectiva | -
1 respetable | - | -
1 respetuoso | respetuosa | -
1 restante | - | -
1 resuelto | resuelta | -
1 retador | - | 
1 retirado | retirada | -
1 revolucionario | revolucionaria | -
1 revuelto | revuelta | -
1 ridículo | ridícula | -
1 rodeado | rodeada | -
1 romano | romana | -
1 rompible | - |  breakable/fragile
1 rotundo | rotunda | -
1 ruso | rusa | -
1 rígidos | - | -
1 rítmico | rítmica | -
1 rústico | rústica | -
1 sabor | - |   de carne de caza
1 sagrado | sagrada | -
1 salteado | - |  sautéed
1 saludable | - | -
1 sangriento | sangrienta | -
1 sarcástico | - |  sarcastic 
1 satisfactorio | satisfactoria | -
1 satisfecho | satisfecha | -
1 satisfying | - | 
1 sazonado | - |  seasoned
1 scrumptious | - | 
1 secreto | secreta | -
1 secular | - | -
1 secundario | secundaria | -
1 seductivo | - |  seductive 
1 seguido | seguida | -
1 seis | - | -
1 semanal | - | -
1 semejante | - | -
1 sencillos | - | -
1 sensato | - |  sensible 
1 sensibles | - | -
1 sensitivo | - |  sensitive 
1 sentado | sentada | -
1 separado | separada | -
1 sereno | serena | -
1 servicial | - |  helpful 
1 severo | severa | -
1 sexual | - | -
1 siete | - | -
1 sigiloso | - | 
1 significativo | - | 	significant
1 signiﬁcativo | signiﬁcativa | -
1 silencioso | silenciosa | -
1 silvestre | - | -
1 simbólico | simbólica | -
1 simples | - | -
1 simultáneo | simultánea | -
1 singular | - | -
1 siniestro | siniestra | -
1 sintético | sintética | -
1 sinuoso | - | 
1 sinvergüenza | - | -
1 sistemático | sistemática | -
1 situado | situada | -
1 smooth | - | 
1 soberano | soberana | -
1 sociable | - |   
1 socialista | - | -
1 sofisticado | sofisticada | -
1 solar | - | -
1 solemne | - | -
1 sombrío | sombría | -
1 somnoliento | - |  sleepy
1 sonoro | sonora | -
1 sonriente | - | -
1 sorprendido | sorprendida | -
1 sostenido | sostenida | -
1 soviético | soviética | -
1 soñador | - | 
1 spanish | - | 	english
1 stale | - | 
1 su | - | -
1 subjetivo | subjetiva | -
1 subterráneo | subterránea | -
1 sucesivo | sucesiva | -
1 suculento | - |  succulent
1 suficiente | - | 	enough
1 suizo | suiza | -
1 sujeto | sujeta | -
1 sumido | sumida | -
1 sumo | suma | -
1 supersticioso | - |  superstitious 
1 superﬁcial | - | -
1 supremo | suprema | -
1 supuesto | supuesta | -
1 susceptible | - | -
1 sutil | - | -
1 suﬁciente | - | -
1 súbito | súbita | -
1 tal | - | -
1 talentoso | - | 
1 tanto | tanta | -
1 tardío | tardía | -
1 tasteless | - | 
1 tatuado | tatuada |  tattooed
1 teatral | - | -
1 telefónico | telefónica | -
1 temeroso | temerosa | -
1 tempermental | - |  moody 
1 temporal | - | -
1 tendido | tendida | -
1 tenue | - | -
1 terrestre | - | -
1 testarudo | - |  stubborn
1 teórico | teórica | -
1 tiímido | - |  shy
1 todo | toda | -
1 tostado | - |  toasted
1 tozudo | - |  stubborn
1 transitorio | transitoria | -
1 trascendental | - | -
1 trascendente | - | -
1 trasero | trasera | -
1 tremendo | tremenda | -
1 triple | - | -
1 tropical | - | -
1 trágico | trágica | -
1 turco | turca | -
1 turístico | turística | -
1 típico | típica | -
1 unflavored | - | 
1 uniforme | - | -
1 universal | - | -
1 uno | - | -
1 unseasoned | - | 
1 urgente | - | -
1 uruguayo | - | -
1 usual | - | -
1 valioso | valiosa | -
1 vanguardisto | - |  avant-garde
1 vano | vana | -
1 vaporoso | - | 
1 variado | variada | -
1 varios | - | -
1 vasco | vasca | -
1 vasto | vasta | -
1 vecino | vecina | -
1 vegetal | - | -
1 vencido | - | 
1 venenoso | - |  poisonous
1 verbal | - | -
1 verdeso | - | -
1 vergonzoso | - |  shy 
1 versátil | - |  versatile 
1 vertical | - | -
1 vertiginoso | vertiginosa | -
1 vestido | vestida | -
1 vidriado | - |  glazed
1 vigoroso | vigorosa | -
1 vinagroso | - |  vinegary
1 vinculado | vinculada | -
1 violento | violenta | -
1 violeto | - | -
1 virgen | - | -
1 visible | - | -
1 visual | - | -
1 vital | - | -
1 voluntario | voluntaria | -
1 voluptuoso | - | -
1 vulnerable | - | -
1 válido | válida | -
1 way | - |  of being adjectives
1 árabe | - | -
1 árido | árida | -
1 ético | ética | -
1 íntegro | íntegra | -
1 íntimo | íntima | -
1 óptimo | óptima | -
1 ﬁel | - | -
1 ﬁjo | ﬁja | -
1 ﬁlosóﬁco | ﬁlosóﬁca | -
1 ﬁnal | - | -
1 ﬁno | ﬁna | -
1 ﬁrme | - | -
